theta,placement,seed,peak_D,early_D,tail_D,peak_dcomm,bridge_radical_tail
0.0,nonbridge_biased,25,0.8416666666666667,0.15066666666666662,0.0,6.0,0.25
0.0,nonbridge_biased,26,0.8125,0.12516666666666665,0.0,6.0,0.319
0.0,nonbridge_biased,27,0.7833333333333333,0.14245833333333333,0.0,6.0,0.3197142857142857
0.0,nonbridge_biased,28,0.825,0.14266666666666664,0.0,6.0,0.28771428571428564
0.0,nonbridge_biased,29,0.8291666666666667,0.14379166666666665,0.0,6.0,0.2788571428571429
0.0,nonbridge_biased,30,0.7916666666666666,0.12391666666666666,0.0,6.0,0.25000000000000006
0.0,nonbridge_biased,31,0.7958333333333333,0.14904166666666666,0.0,6.0,0.33614285714285713
0.0,nonbridge_biased,32,0.7833333333333333,0.14833333333333332,0.0,6.0,0.23585714285714282
0.0,nonbridge_biased,33,0.7875,0.1444583333333333,0.0,6.0,0.42342857142857143
0.0,nonbridge_biased,34,0.8208333333333333,0.15625000000000003,0.0,6.0,0.36942857142857144
0.0,nonbridge_biased,35,0.8,0.169375,0.0,6.0,0.27885714285714286
0.0,nonbridge_biased,36,0.8083333333333333,0.15091666666666667,0.0,6.0,0.2831428571428571
0.0,nonbridge_biased,37,0.7875,0.13366666666666663,0.0,6.0,0.37257142857142855
0.0,nonbridge_biased,38,0.8458333333333333,0.15462499999999998,0.0,6.0,0.31314285714285717
0.0,nonbridge_biased,39,0.775,0.19816666666666666,0.0,6.0,0.22957142857142857
0.0,nonbridge_biased,40,0.7916666666666666,0.16620833333333326,0.0,6.0,0.19457142857142856
0.0,nonbridge_biased,41,0.7875,0.1507083333333333,0.0,6.0,0.24328571428571427
0.0,nonbridge_biased,42,0.8333333333333334,0.15091666666666664,0.0,6.0,0.283
0.0,nonbridge_biased,43,0.7958333333333333,0.17516666666666666,0.0,6.0,0.444
0.0,nonbridge_biased,44,0.7875,0.14145833333333332,0.0,6.0,0.3738571428571429
0.0,nonbridge_biased,45,0.8208333333333333,0.16024999999999998,0.0,6.0,0.3357142857142858
0.0,nonbridge_biased,46,0.8125,0.15404166666666666,0.0,6.0,0.291
0.0,nonbridge_biased,47,0.7875,0.14441666666666667,0.0,6.0,0.3251428571428571
0.0,nonbridge_biased,48,0.7875,0.13904166666666665,0.0,6.0,0.2414285714285714
0.0,nonbridge_biased,49,0.7458333333333333,0.15341666666666665,0.0,6.0,0.3201428571428571
0.0,nonbridge_biased,50,0.7791666666666667,0.16479166666666664,0.0,6.0,0.33128571428571435
0.0,highdeg_nonbridge,1,0.8333333333333334,0.14191666666666666,0.0,6.0,0.3281428571428572
0.0,highdeg_nonbridge,2,0.7916666666666666,0.13645833333333332,0.0,6.0,0.3041428571428571
0.0,highdeg_nonbridge,3,0.8083333333333333,0.14395833333333333,0.0,6.0,0.29557142857142854
0.0,highdeg_nonbridge,4,0.7875,0.17400000000000004,0.0,6.0,0.3632857142857143
